device,Lat,Long,Month,year,Monthly_consumption,Water&Space_Heating_consumption,Water&Space_Heating_consumption_pct,Cooling_consumption,Cooling_consumption_pct,Laundry_consumption,Laundry_consumption_pct,Refrigeration_consumption,Refrigeration_consumption_pct,Entertainment_consumption,Entertainment_consumption_pct,Always_On_consumption,Always_On_consumption_pct,Others_consumption,Others_consumption_pct
SM000001,24.7166,46.6721,1,2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SM000001,24.7166,46.6721,2,2021,7,0,0,0,0,0,0,0,0,0,0,7,100,0,0
SM000001,24.7166,46.6721,3,2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SM000001,24.7166,46.6721,4,2021,13,0,0,0,0,0,0,0,0,0,0,13,100,0,0
SM000001,24.7166,46.6721,5,2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SM000001,24.7166,46.6721,6,2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SM000001,24.7166,46.6721,7,2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SM000001,24.7166,46.6721,8,2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SM000001,24.7166,46.6721,9,2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SM000001,24.7166,46.6721,10,2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SM000001,24.7166,46.6721,11,2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SM000001,24.7166,46.6721,12,2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SM000002,24.7126,46.7056,1,2021,526441,169632.914,32.22258791,0,0,32538.7787,6.180897517,38998.82437,7.408014264,67122.41929,12.75022639,112106.2527,21.2951219,106041.811,20.14315202
SM000002,24.7126,46.7056,2,2021,662666,280186.4745,42.28170368,0,0,29082.63707,4.388732344,49508.16174,7.471058081,81587.07782,12.31194566,113026.4875,17.05632815,109275.1614,16.49023209
SM000002,24.7126,46.7056,3,2021,133405,0,0,38497,28.85723923,9279.64,6.955991155,15753.23307,11.80857769,30737.18381,23.04050359,18417.39539,13.80562602,20720.54773,15.53206232
SM000002,24.7126,46.7056,4,2021,161,0,0,0,0,0,0,0,0,0,0,161,100,0,0
SM000002,24.7126,46.7056,5,2021,42,0,0,0,0,0,0,0,0,0,0,42,100,0,0
SM000002,24.7126,46.7056,6,2021,3,0,0,0,0,0,0,0,0,0,0,3,100,0,0
SM000002,24.7126,46.7056,7,2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SM000002,24.7126,46.7056,8,2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SM000002,24.7126,46.7056,9,2021,1331703,0,0,844693.0777,63.4295393,26277,1.973187715,40242.66442,3.021894854,24553.81137,1.843790347,321676.8,24.15529589,74259.64658,5.576291905
SM000002,24.7126,46.7056,10,2021,2911360,0,0,1948474.775,66.92661763,37091.53,1.274027602,67109.19067,2.305080466,217566.7823,7.473029178,546441.2429,18.76927769,94676.47916,3.251967436
SM000002,24.7126,46.7056,11,2021,2096215,0,0,1308712.752,62.43218143,50622.4,2.414943124,71007.16783,3.38739909,384940.8657,18.36361564,280931.8147,13.40186072,0,0
SM000002,24.7126,46.7056,12,2021,1889819,0,0,1132410.655,59.92164621,50646.85,2.679984168,55607.89618,2.942498524,312924.5647,16.55844103,333724.527,17.65907354,4504.506943,0.238356527
SM000003,24.7665,46.6763,1,2021,2101481,992507.3826,47.22894866,0,0,45114.72164,2.146806069,64180.75991,3.054072814,280765.0435,13.36034175,507055.3546,24.12847676,211857.7375,10.08135393
SM000003,24.7665,46.6763,2,2021,406139,85649.50972,21.08871833,0,0,9238.478233,2.27470847,26931.82102,6.631183172,152628.0765,37.58025615,98260.93598,24.19391784,33430.17853,8.231216045
SM000003,24.7665,46.6763,3,2021,3522250,0,0,1832082.689,52.01455573,37523.47,1.065326709,71376.44069,2.02644448,334835.5947,9.506298381,860923.4808,24.44242972,385508.3244,10.94494498
SM000003,24.7665,46.6763,4,2021,3692152,0,0,1916306.749,51.90216298,40586.91,1.099275165,92829.04272,2.514225924,189413.2868,5.130159506,894401.3369,24.224391,558614.6754,15.12978543
SM000003,24.7665,46.6763,5,2021,3676883,0,0,1921918.165,52.27031061,26637.4,0.724456013,74929.84018,2.037863054,375718.18,10.21838824,887185.239,24.12873184,390494.1758,10.62025025
SM000003,24.7665,46.6763,6,2021,5242030,0,0,2840096.191,54.17931968,37102.44,0.707787632,62225.25326,1.187044966,635366.7295,12.12062368,1264206.799,24.11674102,403032.5864,7.68848302
SM000003,24.7665,46.6763,7,2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SM000003,24.7665,46.6763,8,2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SM000003,24.7665,46.6763,9,2021,1196723,0,0,578291.5886,48.32292758,21881.82,1.828478269,42824.32962,3.57846633,40174.50442,3.357042893,292558.6125,24.44664408,220992.1448,18.46644084
SM000003,24.7665,46.6763,10,2021,2554907,0,0,1370707.458,53.64999423,33521.53,1.312045018,45503.83873,1.78103699,63811.13179,2.497591176,625036.8,24.46417032,416326.2414,16.29516226
SM000003,24.7665,46.6763,11,2021,1830217,0,0,861911.288,47.09339319,39519.04,2.15925434,66152.46952,3.614460445,90308.97564,4.934331592,445805.8267,24.35808578,326519.4,17.84047465
SM000003,24.7665,46.6763,12,2021,1422545,0,0,545566.6126,38.35144847,44044.55,3.096179734,71527.10894,5.028108702,209967.9351,14.7600206,345150.2255,24.2628687,206288.5679,14.5013738
SM000004,24.7811,46.67,1,2021,646384,277961.8808,43.002593,0,0,41445.11562,6.411841199,66063.47344,10.22046855,143747.2299,22.2386739,53920.02346,8.341794268,63246.27684,9.784629082
SM000004,24.7811,46.67,2,2021,509112,200638.5419,39.40950947,0,0,45412.21576,8.919887129,62360.5849,12.24889315,95553.72324,18.76870379,49943.74284,9.809971645,55203.19141,10.84303482
SM000004,24.7811,46.67,3,2021,829850,0,0,493353.6046,59.45093747,38139.01,4.595892029,63547.67063,7.657729786,66816.0179,8.051577743,33959.17728,4.092206697,134034.5197,16.15165628
SM000004,24.7811,46.67,4,2021,959616,0,0,586812.8654,61.15080047,42167.68,4.394224356,52278.95417,5.447903554,71182.7328,7.417835134,47558.4,4.955982393,159615.3676,16.6332541
SM000004,24.7811,46.67,5,2021,1225330,0,0,750633.1978,61.2596768,38027.66,3.103462741,72923.61888,5.95134526,72724.49644,5.935094745,61162.61616,4.991521971,229858.4108,18.75889848
SM000004,24.7811,46.67,6,2021,996137,0,0,610851.9599,61.3220832,31368,3.14896445,66822.79371,6.708193121,49650.91078,4.984345605,57672.13505,5.789578647,179771.2005,18.04683497
SM000004,24.7811,46.67,7,2021,998113,0,0,614191.7648,61.53529358,31649.09,3.170892474,69774.89214,6.990680629,50103.53432,5.019825843,47731.2,4.782143906,184662.5187,18.50116357
SM000004,24.7811,46.67,8,2021,888679,0,0,548346.5578,61.7035575,27887.3,3.138062225,65761.15756,7.399877521,57976.10021,6.523851718,48307.2,5.435843539,140400.6845,15.7988075
SM000004,24.7811,46.67,9,2021,847428,0,0,501426.2988,59.17037186,30834.29,3.638573425,58385.19213,6.889693536,55083.28421,6.500054779,51033.6,6.022175335,150665.3348,17.77913106
SM000004,24.7811,46.67,10,2021,801638,0,0,442405.6401,55.18770818,34356.64,4.285804815,68965.97957,8.603132532,67426.52211,8.411093549,44966.4,5.609314928,143516.8182,17.902946
SM000004,24.7811,46.67,11,2021,537508,0,0,285952.8124,53.19973142,28242.13,5.254271564,60680.53574,11.28923397,59571.31491,11.08287038,20951.56659,3.897907863,82109.64036,15.2759848
SM000004,24.7811,46.67,12,2021,552181,0,0,340938.1708,61.74391563,31601.28,5.722993004,59442.27963,10.76499909,76438.32141,13.8429829,26968.26435,4.883953694,16792.68385,3.041155681
SM000005,24.6835,46.7099,1,2021,1947424,702969.537,36.09740544,0,0,49058.64818,2.519155982,66540.51042,3.416847611,154728.8705,7.945309832,475618.7393,24.42296795,498507.6943,25.59831317
