Time,AnomalyScore,latitude,longitude,CellName,KpiName,Value,Vendor
2023-11-19T00:00:00.000Z,1,17.0497,54.3887,ND0006134F1C,(M) Abnormal Release Rate(%),30.67,ericsson
2023-12-25T00:00:00.000Z,1,17.83653,52.65685,ND0007126F1B,(M) Abnormal Release Rate(%),28.67,ericsson
2023-12-27T00:00:00.000Z,1,17.83653,52.65685,ND0007126F1B,(M) Abnormal Release Rate(%),32.19,ericsson
2024-01-06T00:00:00.000Z,1,17.83653,52.65685,ND0007126F1B,(M) Abnormal Release Rate(%),28.85,ericsson
2024-01-07T00:00:00.000Z,1,17.83653,52.65685,ND0007126F1B,(M) Abnormal Release Rate(%),42.28,ericsson
2024-01-08T00:00:00.000Z,1,17.83653,52.65685,ND0007126F1B,(M) Abnormal Release Rate(%),45.81,ericsson
2024-01-10T00:00:00.000Z,1,17.83653,52.65685,ND0007126F1B,(M) Abnormal Release Rate(%),41.98,ericsson
2024-01-21T00:00:00.000Z,1,17.83653,52.65685,ND0007126F1B,(M) Abnormal Release Rate(%),51.27,ericsson
2024-01-22T00:00:00.000Z,1,17.83653,52.65685,ND0007126F1B,(M) Abnormal Release Rate(%),41.17,ericsson
2024-01-24T00:00:00.000Z,1,17.83653,52.65685,ND0007126F1B,(M) Abnormal Release Rate(%),29.25,ericsson
2023-11-10T00:00:00.000Z,1,17.83653,52.65685,ND0007126F1C,(M) Abnormal Release Rate(%),72.13,ericsson
2023-11-11T00:00:00.000Z,1,17.83653,52.65685,ND0007126F1C,(M) Abnormal Release Rate(%),86.01,ericsson
2023-11-12T00:00:00.000Z,1,17.83653,52.65685,ND0007126F1C,(M) Abnormal Release Rate(%),84.32,ericsson
2023-11-13T00:00:00.000Z,1,17.83653,52.65685,ND0007126F1C,(M) Abnormal Release Rate(%),82.33,ericsson
2023-11-16T00:00:00.000Z,1,17.83653,52.65685,ND0007126F1C,(M) Abnormal Release Rate(%),54.4,ericsson
2023-11-20T00:00:00.000Z,1,17.83653,52.65685,ND0007126F1C,(M) Abnormal Release Rate(%),40.16,ericsson
2023-11-22T00:00:00.000Z,1,17.83653,52.65685,ND0007126F1C,(M) Abnormal Release Rate(%),54.52,ericsson
2023-12-01T00:00:00.000Z,1,17.83653,52.65685,ND0007126F1C,(M) Abnormal Release Rate(%),33.61,ericsson
2023-12-04T00:00:00.000Z,1,17.83653,52.65685,ND0007126F1C,(M) Abnormal Release Rate(%),28.87,ericsson
2023-12-05T00:00:00.000Z,1,17.83653,52.65685,ND0007126F1C,(M) Abnormal Release Rate(%),75.03,ericsson
2023-12-06T00:00:00.000Z,1,17.83653,52.65685,ND0007126F1C,(M) Abnormal Release Rate(%),72.59,ericsson
2023-12-07T00:00:00.000Z,1,17.83653,52.65685,ND0007126F1C,(M) Abnormal Release Rate(%),80.85,ericsson
